instance_type,max_batch_tokens,batch,concurrency,target_tokens,emb_per_sec,req_per_sec,p50_ms,p90_ms,p99_ms,errors,duration_s,warmup_s,timestamp
c7i.4xlarge,16384,8,4,256,0.7,0.1,32613.0,32777.9,32778.0,0,60.0,15.0,1779348805
c7i.4xlarge,16384,8,16,256,0.0,0.0,118512.0,118512.0,118512.0,8,60.0,15.0,1779348805
c7i.4xlarge,16384,32,4,256,0.4,0.0,112157.5,117294.6,118450.4,0,60.0,15.0,1779348805
c7i.4xlarge,16384,32,16,256,0.2,0.0,118716.8,118716.8,118716.8,32151,60.0,15.0,1779348805
c7i.4xlarge,16384,128,4,256,0.0,0.0,nan,nan,nan,32960,60.0,15.0,1779348805
c7i.4xlarge,16384,128,16,256,0.0,0.0,nan,nan,nan,23988,60.0,15.0,1779348805
c7i.4xlarge,16384,128,64,256,0.0,0.0,nan,nan,nan,18286,60.0,15.0,1779348805
g4dn.xlarge,524288,8,4,256,237.2,29.7,134.7,136.4,138.1,0,60.0,15.0,1779348685
g4dn.xlarge,524288,8,16,256,244.0,30.5,520.9,527.1,531.4,0,60.0,15.0,1779348685
g4dn.xlarge,524288,8,64,256,235.8,29.5,2112.6,2131.8,2146.2,0,60.0,15.0,1779348685
g4dn.xlarge,524288,32,4,256,241.5,7.5,526.2,528.3,532.9,0,60.0,15.0,1779348685
g4dn.xlarge,524288,32,16,256,235.0,7.3,2149.8,2159.9,2167.1,0,60.0,15.0,1779348685
g4dn.xlarge,524288,32,64,256,217.7,6.8,8751.3,8771.2,8793.5,0,60.0,15.0,1779348685
g4dn.xlarge,524288,128,4,256,234.8,1.8,2177.2,2196.4,2211.6,0,60.0,15.0,1779348685
g4dn.xlarge,524288,128,16,256,214.0,1.7,8766.8,8803.8,8847.7,1189,60.0,15.0,1779348685
g5.xlarge,524288,8,4,256,836.8,104.6,38.2,38.7,39.6,0,60.0,15.0,1779348756
g5.xlarge,524288,8,16,256,857.3,107.2,148.9,151.5,153.7,0,60.0,15.0,1779348756
g5.xlarge,524288,8,64,256,942.8,117.9,538.5,552.9,567.3,0,60.0,15.0,1779348756
g5.xlarge,524288,32,4,256,844.6,26.4,151.2,151.8,152.6,0,60.0,15.0,1779348756
g5.xlarge,524288,32,16,256,930.1,29.1,545.7,549.6,553.8,0,60.0,15.0,1779348756
g5.xlarge,524288,32,64,256,875.0,27.3,2268.3,2288.8,2312.9,0,60.0,15.0,1779348756
g5.xlarge,524288,128,4,256,897.9,7.0,562.2,580.5,617.1,0,60.0,15.0,1779348756
g5.xlarge,524288,128,16,256,885.9,6.9,2259.0,2288.2,2558.1,0,60.0,15.0,1779348756
g5.xlarge,524288,128,64,256,851.6,6.7,4581.8,4791.8,5094.2,16237,60.0,15.0,1779348756
g6.12xlarge,524288,8,4,256,2.0,0.2,12277.6,20920.2,23807.7,0,60.0,15.0,1779349014
g6.12xlarge,524288,8,16,256,1.3,0.2,55585.3,79327.9,84172.8,0,60.0,15.0,1779349014
g6.12xlarge,524288,32,4,256,0.8,0.0,23358.7,75697.5,86892.2,1,60.0,15.0,1779349014
g6.12xlarge,524288,32,16,256,0.4,0.0,50276.2,90467.7,99510.8,1,60.0,15.0,1779349014
g6.12xlarge,524288,128,4,256,0.0,0.0,nan,nan,nan,0,60.0,15.0,1779349014
g6.12xlarge,524288,128,16,256,0.0,0.0,nan,nan,nan,0,60.0,15.0,1779349014
g6.12xlarge,524288,128,64,256,0.0,0.0,nan,nan,nan,0,60.0,15.0,1779349014
g6.xlarge,524288,8,4,256,799.5,99.9,40.0,40.6,41.4,0,60.0,15.0,1779348675
g6.xlarge,524288,8,16,256,775.9,97.0,164.3,168.9,173.5,0,60.0,15.0,1779348675
g6.xlarge,524288,8,64,256,702.2,87.8,724.8,751.4,771.3,0,60.0,15.0,1779348675
g6.xlarge,524288,32,4,256,755.6,23.6,168.9,173.2,175.9,0,60.0,15.0,1779348675
g6.xlarge,524288,32,16,256,706.1,22.1,719.9,726.2,731.2,0,60.0,15.0,1779348675
g6.xlarge,524288,128,4,256,691.8,5.4,736.2,742.2,750.2,0,60.0,15.0,1779348675
g6.xlarge,524288,128,16,256,657.9,5.1,3077.9,3261.2,3287.9,0,60.0,15.0,1779348675
g6.xlarge,524288,128,64,256,633.7,5.0,6122.2,6294.8,6639.8,16786,60.0,15.0,1779348675
inf2.xlarge,16384,32,4,256,247.9,7.7,512.6,513.1,513.4,0,60.0,15.0,1779794171
inf2.xlarge,16384,32,16,256,241.5,7.5,2050.5,2051.0,2051.4,0,60.0,15.0,1779794171
inf2.xlarge,16384,32,64,256,226.3,7.1,9573.7,9581.0,9583.0,0,60.0,15.0,1779794171
inf2.xlarge,16384,8,4,256,951.9,119.0,31.9,38.4,52.4,0,60.0,15.0,1779802284
inf2.xlarge,16384,8,16,256,779.2,97.4,163.7,169.5,177.1,0,60.0,15.0,1779802284
